OUT	Irinda	Baikalsk	Accession number	Ident,%	Species	Taxonomy	Groups	Groups of SAR
OTU_1004	4	0	MF474372	89.84	Phialina sp. 1 FG-2017	"Alveolata; Ciliophora; Intramacronucleata; Litostomatea; Haptoria; Haptorida; Lacrymariidae; Phialina"	SAR	Alveolata
OTU_1013	1	3	KU665361	88.27	Peniculistoma mytili	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Scuticociliatia; Pleuronematida; Peniculistomatidae; Peniculistoma"	SAR	Alveolata
OTU_1017	2	1	KU219950	91.32	Ichthyophthirius multifiliis	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Hymenostomatida; Ophryoglenina; Ichthyophthirius."	SAR	Alveolata
OTU_1063	3	0	KM222066	88.99	Zosterodasys agamalievi	"Alveolata; Ciliophora; Intramacronucleata; Nassophorea; Synhymeniida; Orthodonellidae; Zosterodasys"	SAR	Alveolata
OTU_1079	1	3	MG264150	92.41	Litonotus crystallinus	"Alveolata; Ciliophora; Intramacronucleata; Litostomatea; Haptoria; Pleurostomatida; Litonotidae; Litonotus"	SAR	Alveolata
OTU_1083	3	0	AJ286806	100	Urostyla grandis	"Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Stichotrichia; Urostylida; Urostylidae; Urostyla"	SAR	Alveolata
OTU_117	49	152	KX926029	93.52	Uncultured peritrich ciliate clone	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; environmental samples"	SAR	Alveolata
OTU_127	223	76	HQ219427	83.39	Uncultured ciliate clone	"Alveolata; Ciliophora; environmental samples"	SAR	Alveolata
OTU_218	22	54	GU187058	87.96	Apocarchesium rosettum	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; Sessilida; Vorticellidae; Apocarchesium"	SAR	Alveolata
OTU_226	14	37	KM222066	94.17	Zosterodasys agamalievi	"Alveolata; Ciliophora; Intramacronucleata; Nassophorea; Synhymeniida; Orthodonellidae; Zosterodasys"	SAR	Alveolata
OTU_232	40	13	KF524413	92.2	Vorticella cf. campanula	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; Sessilida; Vorticellidae; Vorticella"	SAR	Alveolata
OTU_269	34	2	GU187058	84.51	Apocarchesium rosettum	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; Sessilida; Vorticellidae; Apocarchesium"	SAR	Alveolata
OTU_316	33	3	MF474370	95.09	Lacrymaria maurea	"Alveolata; Ciliophora; Intramacronucleata; Litostomatea; Haptoria; Haptorida; Lacrymariidae; Lacrymaria"	SAR	Alveolata
OTU_346	27	0	HQ219350	96.12	Uncultured ciliate clone	"Alveolata; Ciliophora; environmental samples"	SAR	Alveolata
OTU_41	1353	2982	KF524371	93.88	Vorticella sp.	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; Sessilida; Vorticellidae; Vorticella"	SAR	Alveolata
OTU_430	6	8	AF508779	98.78	Uroleptus gallina	"Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Stichotrichia; Urostylida; Urostylidae; Uroleptus"	SAR	Alveolata
OTU_443	15	1	HQ219435	100	Uncultured ciliate clone	"Alveolata; Ciliophora; environmental samples"	SAR	Alveolata
OTU_483	11	1	KX926029	83.73	Uncultured peritrich ciliate clone	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; environmental samples"	SAR	Alveolata
OTU_486	13	1	HQ219435	89.97	Uncultured ciliate clone	"Alveolata; Ciliophora; environmental samples"	SAR	Alveolata
OTU_511	11	1	AF508773	99.41	Stylonychia lemnae	" Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Stichotrichia; Sporadotrichida; Oxytrichidae; Stylonychinae; Stylonychia"	SAR	Alveolata
OTU_56	210	857	EU340855	94.52	Pseudovorticella paracratera 	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; Sessilida; Vorticellidae; Pseudovorticella"	SAR	Alveolata
OTU_580	14	6	KU665352	89.97	Mytilophilus pacificae	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Scuticociliatia; Pleuronematida; Peniculistomatidae; Mytilophilus"	SAR	Alveolata
OTU_584	9	0	JN885096	92.41	Parauronema longum	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Scuticociliatia; Philasterida; Philasteridae; Parauronema"	SAR	Alveolata
OTU_592	10	0	KX926077	96.59	Uncultured peritrich ciliate clone	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; environmental samples"	SAR	Alveolata
OTU_615	0	11	KF524371	92.52	Vorticella sp.	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; Sessilida; Vorticellidae; Vorticella"	SAR	Alveolata
OTU_651	11	7	KM222045	99.11	Tachysoma pellionellum	"Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Stichotrichia; Sporadotrichida; Oxytrichidae; Tachysoma"	SAR	Alveolata
OTU_658	3	2	FJ554186	92.86	Uncultured Heterotrichida clone	"Alveolata; Ciliophora; Postciliodesmatophora; Heterotrichea; Heterotrichida; environmental samples"	SAR	Alveolata
OTU_670	3	3	MH444365	74.2	Nassophorea sp.	"Alveolata; Ciliophora; Intramacronucleata; Nassophorea; unclassified Nassophorea"	SAR	Alveolata
OTU_69	76	635	KF524373	99.66	Vorticella gracilis	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; Sessilida; Vorticellidae; Vorticella"	SAR	Alveolata
OTU_694	3	4	HQ219464	97.87	Uncultured ciliate clone	"Alveolata; Ciliophora; environmental samples"	SAR	Alveolata
OTU_71	15	533	KF524422	97.95	Vorticella chlorostigma	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; Sessilida; Vorticellidae; Vorticella"	SAR	Alveolata
OTU_751	3	4	KX926029	90.44	Uncultured peritrich ciliate clone	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; environmental samples"	SAR	Alveolata
OTU_832	10	0	JX310029	90.91	Sathrophilus holtae	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Scuticociliatia; Philasterida; Cinetochilidae; Sathrophilus"	SAR	Alveolata
OTU_849	3	0	KJ475242	93.21	Frontonia paramagna	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peniculida; Frontoniidae; Frontonia"	SAR	Alveolata
OTU_855	4	0	GU187058	86.53	Apocarchesium rosettum	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; Sessilida; Vorticellidae; Apocarchesium"	SAR	Alveolata
OTU_866	4	1	MF474372	89.88	Phialina sp.	"Alveolata; Ciliophora; Intramacronucleata; Litostomatea; Haptoria; Haptorida; Lacrymariidae; Phialina"	SAR	Alveolata
OTU_869	6	0	GU586188	79.02	Campanella umbellaria	"Alveolata; Ciliophora; Intramacronucleata; Oligohymenophorea; Peritrichia; Sessilida; Epistylidae; Campanella"	SAR	Alveolata
OTU_870	1	3	KM222052	87.64	Pseudotontonia simplicidens	"Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Oligotrichia; Tontoniidae; Pseudotontonia"	SAR	Alveolata
OTU_946	2	0	MF474370	91.07	Lacrymaria maurea	"Alveolata; Ciliophora; Intramacronucleata; Litostomatea; Haptoria; Haptorida; Lacrymariidae; Lacrymaria"	SAR	Alveolata
OTU_962	2	0	GQ281529	97.48	uncultured freshwater alveolate	"Alveolata; environmental samples"	SAR	Alveolata
OTU_975	2	0	GQ281532	99.6	uncultured freshwater alveolate	"Alveolata; environmental samples"	SAR	Alveolata
OTU_980	2	0	KX360019	94.53	Urostylida sp. ZL-2016a	"Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Stichotrichia; Urostylida; unclassified Urostylida"	SAR	Alveolata
OTU_867	1	14	GU001161	90.35	Vannella septentrionalis	"Amoebozoa; Discosea; Flabellinia; Vannellidae; Vannella"	Amoebozoa	Amoebozoa
OTU_628	6	0	LT993784	93.22	Katablepharis remigera	"Katablepharidophyta; Katablepharidaceae; Katablepharis"	Chromista	Chromista
OTU_1025	3	0	HQ219454	97.71	uncultured Cryptophyta	"Cryptophyta; environmental samples"	Cryptophyta	Cryptophyta
OTU_10	2	3	MK465184	100	Epicoccum sp.	"Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae;Didymellaceae; Epicoccum"	Fungi	Fungi
OTU_1002	2	0	MH208712	100	Debaryomyces hansenii	"Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Debaryomyces"	Fungi	Fungi
OTU_1014	2	0	MF569544	86.05	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_1020	0	2	KX195062	100	Uncultured fungus clone	"Fungi; environmental samples"	Fungi	Fungi
OTU_1039	0	8	KU534713	95.65	Uncultured Rhizophydium clone	" Fungi; Chytridiomycota; Chytridiomycetes; Rhizophydiales; Rhizophydiaceae; environmental samples"	Fungi	Fungi
OTU_1043	3	0	MF569850	94.35	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_1047	0	3	MH356538	85.51	uncultured Rhizophydiales	"Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycetes; Rhizophydiales; environmental samples"	Fungi	Fungi
OTU_1055	4	0	MF571076	86.83	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_1061	2	1	MF971419	87.4	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_1084	0	2	MF142398	95.73	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
OTU_1085	2	0	LC310176	87.75	uncultured fungus	"Fungi; environmental samples"	Fungi	Fungi
